long_fundid,double_gainaby,double_riskaby,long_hitcount
12030473,50.0,50.0,Null
12030484,50.0,50.0,Null
12033767,50.0,50.0,Null
12033761,50.0,50.0,Null
12032594,50.0,50.0,Null
12032597,50.0,50.0,Null
12032599,50.0,50.0,Null
12028457,50.0,50.0,Null
12033750,50.0,50.0,Null
12033754,50.0,50.0,Null
12033758,50.0,50.0,Null
12028499,50.0,50.0,Null
12033726,50.0,50.0,Null
12028490,50.0,50.0,Null
12028478,50.0,50.0,Null
12028481,50.0,50.0,Null
12028480,50.0,50.0,Null
12033709,50.0,50.0,Null
12033710,50.0,50.0,Null
12026973,50.0,50.0,Null
12026974,50.0,50.0,Null
12029193,50.0,50.0,Null
12026983,50.0,50.0,Null
12026988,50.0,50.0,Null
12034805,50.0,50.0,Null
12026992,50.0,50.0,Null
12028410,50.0,50.0,Null
12029994,50.0,50.0,Null
12029992,50.0,50.0,Null
12026970,50.0,50.0,Null
12034836,50.0,50.0,Null
12034838,50.0,50.0,Null
12029969,50.0,50.0,Null
12028423,50.0,50.0,Null
12034030,50.0,50.0,Null
12029157,50.0,50.0,Null
12034018,50.0,50.0,Null
12029155,50.0,50.0,Null
12029979,50.0,50.0,Null
12034021,50.0,50.0,Null
12028418,50.0,50.0,Null
12034817,50.0,50.0,Null
12029188,50.0,50.0,Null
12034049,50.0,50.0,Null
12029187,50.0,50.0,Null
12034046,50.0,50.0,Null
12029943,50.0,50.0,Null
12029947,50.0,50.0,Null
12034827,50.0,50.0,Null
12029173,50.0,50.0,Null
12028441,50.0,50.0,Null
12029174,50.0,50.0,Null
12029177,50.0,50.0,Null
12034036,50.0,50.0,Null
12029961,50.0,50.0,Null
12028439,50.0,50.0,Null
12028436,50.0,50.0,Null
12029007,50.0,50.0,Null
12029919,50.0,50.0,Null
12029917,50.0,50.0,Null
12034090,50.0,50.0,Null
12029024,50.0,50.0,Null
12034062,50.0,50.0,Null
12034072,50.0,50.0,Null
12029003,50.0,50.0,Null
12030509,50.0,50.0,Null
12030505,50.0,50.0,Null
12030520,50.0,50.0,Null
12030527,50.0,50.0,Null
12032458,50.0,50.0,Null
12030568,50.0,50.0,Null
12032459,50.0,50.0,Null
12030566,50.0,50.0,Null
12030580,50.0,50.0,Null
12030595,50.0,50.0,Null
12030597,50.0,50.0,Null
12030590,50.0,50.0,Null
12033080,50.0,50.0,Null
11022682,50.0,50.0,Null
11023442,50.0,50.0,Null
11018355,50.0,50.0,Null
11018339,50.0,50.0,Null
11018334,50.0,50.0,Null
11020489,50.0,50.0,Null
11023342,50.0,50.0,Null
11023394,50.0,50.0,Null
11019824,50.0,50.0,Null
11020400,50.0,50.0,Null
11020401,50.0,50.0,Null
11021848,50.0,50.0,Null
11020404,50.0,50.0,Null
11020409,50.0,50.0,Null
11021088,50.0,50.0,Null
11020426,50.0,50.0,Null
11019818,50.0,50.0,Null
11020410,50.0,50.0,Null
11020418,50.0,50.0,Null
11020415,50.0,50.0,Null
11020413,50.0,50.0,Null
11021888,50.0,50.0,Null
11021887,50.0,50.0,Null
11021891,50.0,50.0,Null
11020461,50.0,50.0,Null
11019855,50.0,50.0,Null
11020455,50.0,50.0,Null
11021211,50.0,50.0,Null
11021265,50.0,50.0,Null
11019565,50.0,50.0,Null
11021252,50.0,50.0,Null
11018443,50.0,50.0,Null
11018473,50.0,50.0,Null
11022340,50.0,50.0,Null
11020097,50.0,50.0,Null
11022328,50.0,50.0,Null
11022323,50.0,50.0,Null
11020096,50.0,50.0,Null
11020188,50.0,50.0,Null
11020186,50.0,50.0,Null
11020181,50.0,50.0,Null
11020166,50.0,50.0,Null
11020168,50.0,50.0,Null
11020160,50.0,50.0,Null
11020161,50.0,50.0,Null
11020158,50.0,50.0,Null
11023236,50.0,50.0,Null
11023237,50.0,50.0,Null
11020149,50.0,50.0,Null
11020145,50.0,50.0,Null
11023221,50.0,50.0,Null
11020135,50.0,50.0,Null
11022272,50.0,50.0,Null
11020121,50.0,50.0,Null
11022267,50.0,50.0,Null
11020117,50.0,50.0,Null
11020119,50.0,50.0,Null
11018434,50.0,50.0,Null
11020108,50.0,50.0,Null
11021196,50.0,50.0,Null
11021193,50.0,50.0,Null
11019507,50.0,50.0,Null
11022401,50.0,50.0,Null
11021363,50.0,50.0,Null
